date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:27:50	911/911	---M--	200	added ('OK')	image/png	etag:%2238f-5d93540089c8a%22	https://themesbrand.com/skote-symfony/layouts/assets/images/brands/dribbble.png	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/assets/images/brands/dribbble.png	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:27:51	772/772	---M--	200	added ('OK')	image/png	etag:%22304-5d93540089c8a%22	https://themesbrand.com/skote-symfony/layouts/assets/images/brands/dropbox.png	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/assets/images/brands/dropbox.png	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:27:51	1428/1428	---M--	200	added ('OK')	image/png	etag:%22594-5d93540089c8a%22	https://themesbrand.com/skote-symfony/layouts/assets/images/brands/mail_chimp.png	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/assets/images/brands/mail_chimp.png	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:27:52	1477/1477	---M--	200	added ('OK')	image/png	etag:%225c5-5d93540089c8a%22	https://themesbrand.com/skote-symfony/layouts/assets/images/brands/slack.png	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/assets/images/brands/slack.png	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:27:52	18274/18274	---M--	200	added ('OK')	image/jpeg	etag:%224762-5d935400a03f2%22	https://themesbrand.com/skote-symfony/layouts/assets/images/users/avatar-3.jpg	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/assets/images/users/avatar-3.jpg	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:27:53	13993/13993	---M--	200	added ('OK')	image/jpeg	etag:%2236a9-5d935400a03f2%22	https://themesbrand.com/skote-symfony/layouts/assets/images/users/avatar-4.jpg	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/assets/images/users/avatar-4.jpg	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:27:54	15503/15503	---M--	200	added ('OK')	image/jpeg	etag:%223c8f-5d935400a03f2%22	https://themesbrand.com/skote-symfony/layouts/assets/images/users/avatar-1.jpg	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/assets/images/users/avatar-1.jpg	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:27:55	84155/84155	---M-Z	200	added ('OK')	text/html	etag:%22148bb-5da2da4a36c95-gzip%22	https://themesbrand.com/skote-symfony/layouts/crypto-wallet.html	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/crypto-wallet.html	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:27:55	4801/4801	---M-Z	200	added ('OK')	text/html	etag:%2212c1-5d935400f248f-gzip%22	https://themesbrand.com/skote-symfony/layouts/auth-lock-screen.html	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/auth-lock-screen.html	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:27:55	80902/80902	---M-Z	200	added ('OK')	text/html	etag:%2213c06-5da2da4a36c95-gzip%22	https://themesbrand.com/skote-symfony/layouts/contacts-profile.html	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/contacts-profile.html	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:27:55	8185/8185	---M-Z	200	added ('OK')	text/html	etag:%221ff9-5d935400f248f-gzip%22	https://themesbrand.com/skote-symfony/layouts/auth-login.html	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/auth-login.html	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:27:55	120324/120324	---M-Z	200	added ('OK')	text/html	etag:%221d604-5da2da4a38bd5-gzip%22	https://themesbrand.com/skote-symfony/layouts/dashboard-saas.html	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/dashboard-saas.html	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:27:56	139374/139374	---M-Z	200	added ('OK')	text/html	etag:%222206e-5da2da4a38bd5-gzip%22	https://themesbrand.com/skote-symfony/layouts/dashboard-crypto.html	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/dashboard-crypto.html	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:27:56	134881/134881	---M-Z	200	added ('OK')	text/html	etag:%2220ee1-5da2da4a37c35-gzip%22	https://themesbrand.com/skote-symfony/layouts/dashboard-blog.html	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/dashboard-blog.html	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:27:56	75735/75735	---M-Z	200	added ('OK')	text/html	etag:%22127d7-5da2da4a408d5-gzip%22	https://themesbrand.com/skote-symfony/layouts/ui-alerts.html	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/ui-alerts.html	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:27:57	103898/103898	---M-Z	200	added ('OK')	text/html	etag:%22195da-5da2da4a408d5-gzip%22	https://themesbrand.com/skote-symfony/layouts/ui-buttons.html	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/ui-buttons.html	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:27:57	93444/93444	---M-Z	200	added ('OK')	text/html	etag:%2216d04-5da2da4a408d5-gzip%22	https://themesbrand.com/skote-symfony/layouts/ui-cards.html	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/ui-cards.html	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:27:58	75198/75198	---M-Z	200	added ('OK')	text/html	etag:%22125be-5da2da4a408d5-gzip%22	https://themesbrand.com/skote-symfony/layouts/ui-carousel.html	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/ui-carousel.html	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:27:58	67744/67744	---M-Z	200	added ('OK')	text/html	etag:%22108a0-5da2da4a41875-gzip%22	https://themesbrand.com/skote-symfony/layouts/ui-grid.html	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/ui-grid.html	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:27:59	73202/73202	---M-Z	200	added ('OK')	text/html	etag:%2211df2-5da2da4a41875-gzip%22	https://themesbrand.com/skote-symfony/layouts/ui-images.html	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/ui-images.html	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:27:59	72537/72537	---M-Z	200	added ('OK')	text/html	etag:%2211b59-5da2da4a41875-gzip%22	https://themesbrand.com/skote-symfony/layouts/ui-lightbox.html	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/ui-lightbox.html	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:28:00	107049/107049	---M-Z	200	added ('OK')	text/html	etag:%221a229-5da2da4a41875-gzip%22	https://themesbrand.com/skote-symfony/layouts/ui-modals.html	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/ui-modals.html	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:28:00	72843/72843	---M-Z	200	added ('OK')	text/html	etag:%2211c8b-5da2da4a42815-gzip%22	https://themesbrand.com/skote-symfony/layouts/ui-offcanvas.html	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/ui-offcanvas.html	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:28:00	110838/110838	---M-Z	200	added ('OK')	text/html	etag:%221b0f6-5da2da4a408d5-gzip%22	https://themesbrand.com/skote-symfony/layouts/ui-dropdowns.html	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/ui-dropdowns.html	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:28:00	67596/67596	---M-Z	200	added ('OK')	text/html	etag:%221080c-5da2da4a437b5-gzip%22	https://themesbrand.com/skote-symfony/layouts/ui-rangeslider.html	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/ui-rangeslider.html	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:28:00	63636/63636	---M-Z	200	added ('OK')	text/html	etag:%22f894-5da2da4a44755-gzip%22	https://themesbrand.com/skote-symfony/layouts/ui-session-timeout.html	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/ui-session-timeout.html	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:28:01	80402/80402	---M-Z	200	added ('OK')	text/html	etag:%2213a12-5da2da4a437b5-gzip%22	https://themesbrand.com/skote-symfony/layouts/ui-progressbars.html	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/ui-progressbars.html	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:28:01	70947/70947	---M-Z	200	added ('OK')	text/html	etag:%2211523-5da2da4a42815-gzip%22	https://themesbrand.com/skote-symfony/layouts/ui-placeholders.html	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/ui-placeholders.html	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:28:01	68765/68765	---M-Z	200	added ('OK')	text/html	etag:%2210c9d-5da2da4a44755-gzip%22	https://themesbrand.com/skote-symfony/layouts/ui-sweet-alert.html	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/ui-sweet-alert.html	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:28:02	111386/111386	---M-Z	200	added ('OK')	text/html	etag:%221b31a-5da2da4a44755-gzip%22	https://themesbrand.com/skote-symfony/layouts/ui-tabs-accordions.html	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/ui-tabs-accordions.html	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:28:02	76732/76732	---M-Z	200	added ('OK')	text/html	etag:%2212bbc-5da2da4a456f5-gzip%22	https://themesbrand.com/skote-symfony/layouts/ui-typography.html	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/ui-typography.html	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
