date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:35:13	209281/209281	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Apr%202021%2018:10:24%20GMT	https://template.gentechtreedesign.com/html/streamlab/red-html/index.html	C:/Users/Marwen/Desktop/2/frontOffice/template.gentechtreedesign.com/html/streamlab/red-html/index.html	(from )
20:35:14	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2008%20Apr%202023%2019:35:14%20GMT	https://template.gentechtreedesign.com/robots.txt		(from )
20:35:15	29634/29634	---M--	200	added ('OK')	image/png	date:Fri,%2009%20Apr%202021%2018:11:46%20GMT	https://template.gentechtreedesign.com/html/streamlab/red-html/images/favicon.png	C:/Users/Marwen/Desktop/2/frontOffice/template.gentechtreedesign.com/html/streamlab/red-html/images/favicon.png	(from https://template.gentechtreedesign.com/html/streamlab/red-html/index.html)
20:35:16	160392/160392	---M--	200	added ('OK')	text/css	date:Fri,%2009%20Apr%202021%2018:11:02%20GMT	https://template.gentechtreedesign.com/html/streamlab/red-html/css/bootstrap.min.css	C:/Users/Marwen/Desktop/2/frontOffice/template.gentechtreedesign.com/html/streamlab/red-html/css/bootstrap.min.css	(from https://template.gentechtreedesign.com/html/streamlab/red-html/index.html)
20:35:17	154139/154139	---M--	200	added ('OK')	text/css	date:Thu,%2020%20May%202021%2000:36:38%20GMT	https://template.gentechtreedesign.com/html/streamlab/red-html/css/style.css	C:/Users/Marwen/Desktop/2/frontOffice/template.gentechtreedesign.com/html/streamlab/red-html/css/style.css	(from https://template.gentechtreedesign.com/html/streamlab/red-html/index.html)
20:35:17	229/229	---M--	200	added ('OK')	text/css	date:Fri,%2009%20Apr%202021%2018:11:06%20GMT	https://template.gentechtreedesign.com/html/streamlab/red-html/css/responsive.css	C:/Users/Marwen/Desktop/2/frontOffice/template.gentechtreedesign.com/html/streamlab/red-html/css/responsive.css	(from https://template.gentechtreedesign.com/html/streamlab/red-html/index.html)
20:35:19	7978/7978	---M--	200	added ('OK')	image/png	date:Fri,%2009%20Apr%202021%2018:11:46%20GMT	https://template.gentechtreedesign.com/html/streamlab/red-html/images/logo-1.png	C:/Users/Marwen/Desktop/2/frontOffice/template.gentechtreedesign.com/html/streamlab/red-html/images/logo-1.png	(from https://template.gentechtreedesign.com/html/streamlab/red-html/index.html)
20:35:20	216292/216292	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Apr%202021%2018:10:26%20GMT	https://template.gentechtreedesign.com/html/streamlab/red-html/movies-home.html	C:/Users/Marwen/Desktop/2/frontOffice/template.gentechtreedesign.com/html/streamlab/red-html/movies-home.html	(from https://template.gentechtreedesign.com/html/streamlab/red-html/index.html)
20:35:21	147656/147656	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Apr%202021%2018:10:42%20GMT	https://template.gentechtreedesign.com/html/streamlab/red-html/tv-shows-home.html	C:/Users/Marwen/Desktop/2/frontOffice/template.gentechtreedesign.com/html/streamlab/red-html/tv-shows-home.html	(from https://template.gentechtreedesign.com/html/streamlab/red-html/index.html)
20:35:22	161666/161666	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Apr%202021%2018:10:50%20GMT	https://template.gentechtreedesign.com/html/streamlab/red-html/video-home.html	C:/Users/Marwen/Desktop/2/frontOffice/template.gentechtreedesign.com/html/streamlab/red-html/video-home.html	(from https://template.gentechtreedesign.com/html/streamlab/red-html/index.html)
